base,substrate,conc_pct,L,a,b
DC21-502,white,1.0,86.6,0.5,-8.5
DC21-502,white,2.0,82.1,1.9,-15.2
DC21-502,white,4.0,75.4,4.0,-23.2
DC21-502,white,8.0,65.5,8.7,-34.9
DC21-502,white,16.0,53.3,15.8,-47.9
DC21-502,white,32.0,37.4,28.6,-61.7
DC21-502,white,64.0,23.0,45.0,-70.1
DC21-502,white,80.0,18.6,49.1,-69.8
DC21-502,white,100.0,16.3,51.4,-69.4
DC21-604,black,0.5,8.5,-0.1,1.1
DC21-604,black,1.0,8.6,0.0,0.8
DC21-604,black,2.0,8.5,0.2,1.0
DC21-604,black,4.0,8.3,0.6,0.7
DC21-604,black,8.0,8.2,1.2,0.1
DC21-604,black,16.0,7.6,1.8,-0.2
DC21-604,black,32.0,6.9,2.4,-1.2
DC21-604,black,64.0,5.7,2.2,-2.6
DC21-604,black,80.0,5.2,2.0,-3.3
DC21-604,black,100.0,4.8,2.0,-4.2
DC21-604,white,0.5,90.5,2.8,-3.1
DC21-604,white,1.0,87.9,5.8,-6.7
DC21-604,white,2.0,83.3,10.3,-12.2
DC21-604,white,4.0,76.8,17.0,-20.4
DC21-604,white,8.0,67.9,25.1,-30.2
DC21-604,white,16.0,55.1,36.5,-42.2
DC21-604,white,32.0,41.7,48.4,-53.4
DC21-604,white,64.0,26.2,59.8,-62.1
DC21-604,white,80.0,20.1,61.4,-62.7
DC21-604,white,100.0,18.1,61.4,-62.5
DC21-802,black,0.5,8.8,-0.1,0.5
DC21-802,black,1.0,8.6,-0.2,0.7
DC21-802,black,2.0,8.5,-0.2,0.7
DC21-802,black,4.0,8.3,-0.1,0.7
DC21-802,black,8.0,8.1,-0.2,0.6
DC21-802,black,16.0,7.5,-0.3,0.7
DC21-802,black,32.0,6.9,-0.4,0.3
DC21-802,black,64.0,6.2,-0.4,-0.8
DC21-802,black,80.0,5.9,-0.4,-1.1
DC21-802,black,100.0,5.6,-0.5,-1.2
DC21-802,white,0.5,90.2,-0.4,1.6
DC21-802,white,1.0,87.6,-0.2,1.8
DC21-802,white,2.0,83.0,0.0,2.3
DC21-802,white,4.0,76.3,0.3,3.0
DC21-802,white,8.0,65.1,0.6,4.2
DC21-802,white,16.0,54.2,0.8,5.3
DC21-802,white,32.0,38.0,1.1,6.8
DC21-802,white,64.0,18.6,1.2,5.6
DC21-802,white,80.0,13.6,1.0,4.2
DC21-802,white,100.0,9.6,0.6,1.8
