Pantone,L*,a*,b*,DC21-001 Extender,DC21-101 Bright Red,DC21-102 Rubine,DC21-114 Rhodamine,DC21-201 Orange,DC21-304 Yellow,DC21-402 Green,DC21-501 Process Blue,DC21-604 Violet,DC21-802 Black
PANTONE 2088 C,47.49,34.66,-53.53,73.82,0,0,0,0,0,0,2.37,23.81,0
PANTONE 2089 C,40.91,38.77,-58.46,65.26,0,0,0,0,0,0,3.31,31.43,0
PANTONE 209 C,27.51,35.57,3.25,36.59,0,29.56,0,0,12.2,0,0,0,21.65
PANTONE 2090 C,35.85,41.9,-61.76,57.25,0,0,0,0,0,0,4.2,38.55,0
PANTONE 2091 C,25.34,47.42,-66.68,34.85,0,0,0,0,0,0,6.81,58.34,0
PANTONE 2092 C,72.8,12.4,-23.81,93.77,0,0,0,0,0,1.2,0.1,4.93,0
PANTONE 2093 C,65.21,12.7,-22.75,83.8,0,0,10.86,1.22,0,0,4.12,0,0
PANTONE 2094 C,56.18,14.75,-25.72,79.4,4.81,0,0,0,0,5.97,0,9.82,0
PANTONE 2095 C,47.19,23.12,-41.29,72.43,0,0,0,0.74,0,6.39,0,20.44,0
PANTONE 2096 C,39.55,26.05,-44.93,61.43,0,0,0,1.3,0,8.98,0,28.29,0
PANTONE 2097 C,38.44,36,-61.23,61.51,0,0,0,0,0,0,6.36,32.13,0
PANTONE 2098 C,28.23,42.11,-67.05,42.53,0,0,0,0,0,0,9.87,47.6,0
PANTONE 2099 C,69.08,12.99,-22.33,87.37,0,0,6.11,0,0,3.66,0,2.86,0
PANTONE 210 C,76.14,40.31,-10.4,86.5,0,0,12.64,0.86,0,0,0,0,0
PANTONE 2100 C,62.96,16.55,-31.51,86.8,0,0,1.52,0,0,3.19,0,8.49,0
PANTONE 2101 C,54.39,25.88,-48.72,80.91,0,0,0,0,0,0,3.13,15.96,0
PANTONE 2102 C,42.16,24,-48.85,70.44,0,7.02,0,0,0,0,9.14,13.4,0
PANTONE 2103 C,36.76,26.55,-51.27,63.01,0,10.01,0,0,0,0,11.8,15.18,0
PANTONE 2104 C,29.74,29.21,-53.58,50.53,0,0,0,0,0,0,9.77,36.2,3.5
PANTONE 2105 C,20.71,30.51,-49.81,19.69,18.16,0,0,0,0,0,18.65,43.5,0
PANTONE 2106 C,73.95,3.64,-17.26,93.02,0,1.47,0,0,0,3.56,0,1.95,0
PANTONE 2107 C,63.06,3.85,-21.9,85.2,0,4.37,0,0,0,8.39,0,2.04,0
PANTONE 2108 C,53.68,5.73,-25.59,76.91,0,9.48,0,0,0,11.92,1.69,0,0
PANTONE 2109 C,46.29,7.86,-27.87,66.43,0,12.22,0,0,0,18.99,0,2.36,0
PANTONE 211 C,68.87,52.94,-10.06,76.06,4.33,0,19.61,0,0,0,0,0,0
PANTONE 2110 C,41.9,8.07,-28.67,59.3,0,15.52,0,0,0,23.49,0,1.69,0
PANTONE 2111 C,33.84,8.15,-30.3,43.14,0,22.24,0,0,0,33.65,0,0.97,0
PANTONE 2112 C,18.62,22.82,-37.93,6.67,35.61,0,0,0,0,0,27.05,30.67,0
PANTONE 2113 C,72.26,6.65,-32.29,92.72,0,0,0,0,0,0,2.71,4.57,0
PANTONE 2114 C,59.78,9,-35.88,87.01,0,3.54,0,0,0,0,5.72,3.73,0
PANTONE 2115 C,51.99,11.42,-40.73,80.69,0,6.34,0,0,0,0,8.83,4.14,0
PANTONE 2116 C,45.42,14.05,-44.23,74.03,0,9.52,0,0,0,0,12.02,4.43,0
