Pantone,L*,a*,b*,DC21-001 Extender,DC21-101 Bright Red,DC21-102 Rubine,DC21-114 Rhodamine,DC21-201 Orange,DC21-304 Yellow,DC21-402 Green,DC21-501 Process Blue,DC21-604 Violet,DC21-802 Black
PANTONE 254 C,38.51,60.79,-39.03,16.5,0,0,65.6,0,0,0,0,17.9,0
PANTONE 255 C,29.96,43.18,-25.52,45.16,0,39.6,0,0,4.68,0,10.56,0,0
PANTONE 256 C,80.28,14.86,-16.54,96.43,0,0,1.02,0,0,0,0,2.55,0
PANTONE 2562 C,75.42,27.28,-27.28,91.17,0,0,4.47,0,0,0,0,4.36,0
PANTONE 2563 C,72.49,24.44,-25.71,91.91,0,0,3.2,0,0,0,0,4.89,0
PANTONE 2567 C,70.74,22.38,-28.97,92.85,0,0,0.34,0,0,0,0,6.81,0
PANTONE 257 C,71.11,22.52,-22.06,93.93,0,2.45,0,0,0,0,0.44,3.18,0
PANTONE 2572 C,66.75,37.24,-35.78,82.85,0,0,9.33,0,0,0,0,7.82,0
PANTONE 2573 C,62.96,32.25,-32.68,85.14,0,0,6.41,0,0,0,0,8.45,0
PANTONE 2577 C,58.75,30.84,-38.29,85.55,0,0,1.42,0,0,0,0,13.03,0
PANTONE 258 C,42.37,40.98,-34.23,61.17,0,15.82,16.37,0,0,0,6.64,0,0
PANTONE 2582 C,50.68,54.15,-48.15,56.25,0,0,25.48,0,0,0,0,18.27,0
PANTONE 2583 C,50.88,40.77,-38.53,76.95,0,3.73,4.56,0,0,0,0,14.76,0
PANTONE 2587 C,41.97,42.1,-48.88,66.45,0,0,4.78,0,0,0,0,28.3,0.47
PANTONE 259 C,28.82,43.74,-33.73,21.46,0,0,42.37,0,0,0,0,28.27,7.9
PANTONE 2592 C,41.7,62.22,-53.07,34.94,0,0,38.03,0,0,0,0,27.03,0
PANTONE 2593 C,37.48,48.76,-43.56,45.17,0,0,24.77,0,1.61,0,0,28.45,0
PANTONE 2597 C,24.95,49.81,-54.56,14.54,0,0,29.41,0,0,3.81,0,52.24,0
PANTONE 260 C,27.51,36.58,-26.15,25.52,0,0,36.6,0,0,0,0,24.01,13.87
PANTONE 2602 C,35.27,58.21,-47.61,24.29,0,0,46.91,0,0,0,0,28.8,0
PANTONE 2603 C,30.07,46.55,-39.61,45.46,0,22.95,0,0,0,6.13,0,25.46,0
PANTONE 2607 C,20.96,44.12,-47.6,15.53,15.15,0,0,0,0,0,2.94,66.38,0
PANTONE 261 C,25.92,32.07,-22.77,46.14,0,12.57,0,0,0,0,0,24.49,16.8
PANTONE 2612 C,32.26,46.79,-36.43,53.21,0,16.27,0,0,0,0,0,27.28,3.24
PANTONE 2613 C,27.75,42.97,-35.53,33.28,21.63,0,0,0,0,0,1.46,43.63,0
PANTONE 2617 C,18.58,39.04,-41.5,3.82,24.84,0,0,0,0,0,6.34,65,0
PANTONE 262 C,23.41,25.26,-16,42.99,0,10.53,0,0,0,0,0,20.97,25.51
PANTONE 2622 C,29.66,31.24,-21.6,54.62,0,26.32,0,0,0,0,7.55,0,11.51
PANTONE 2623 C,25.75,37.48,-29.47,33.09,17.59,0,0,0,0,0,0,42.58,6.74
PANTONE 2627 C,15.42,30.85,-31.86,5.2,8.23,0,0,0,0,0,0,69.5,17.07
PANTONE 263 C,82.28,12.83,-18.07,97.12,0,0,0,0,0,0,0.02,2.86,0
PANTONE 2635 C,76.31,14.43,-25.46,95.08,0,0,0,0,0,0,0.54,4.38,0
PANTONE 264 C,72.58,20.71,-30.73,93.03,0,0,0,0,0,0,0.18,6.79,0
PANTONE 2645 C,66.26,21.25,-36.51,90.16,0,0,0,0,0,0,1.07,8.77,0
PANTONE 265 C,50.97,37.35,-52.13,76.11,0,0,0,0,0,0,0.57,23.32,0
PANTONE 2655 C,56.81,28.06,-46.39,83.07,0,0,0,0,0,0,1.78,15.15,0
PANTONE 266 C,39.06,46.47,-61.63,58.77,0,0,0,0,0,0,1.11,40.12,0
PANTONE 2665 C,45.67,36.68,-56.9,70.67,0,0,0,0,0,0,3,26.33,0
PANTONE 267 C,29.66,45.47,-57.82,46.67,0,0,0,0,1.08,0,1.84,50.41,0
PANTONE 268 C,28.17,35.15,-43.14,38.83,0,0,0,0,8.44,0,3.57,49.16,0
PANTONE 2685 C,14,42.34,-55.34,0,0,25.04,0,0,0,0,18.61,56.35,0
PANTONE 269 C,26.14,27.78,-32.07,47.39,0,30.06,0,0,0,0,15.25,0,7.3
PANTONE 2695 C,14.28,18.13,-25.17,1.07,0,39.62,0,20.83,0,0,38.48,0,0
PANTONE 270 C,74.52,8.22,-25.66,94.7,0,0,0,0,0,0,1.38,3.92,0
PANTONE 2705 C,69.45,12.65,-34.39,91.66,0,0,0,0,0,0,2.18,6.16,0
PANTONE 2706 C,84.07,2.62,-18.41,97.26,0,0,0,0,0,0,1.05,1.69,0
PANTONE 2707 C,84.94,-1.23,-19.37,97.13,0,0,0,0,0,0,1.5,1.37,0
PANTONE 2708 C,81.33,-0.15,-22.79,96.17,0,0,0,0,0,0,1.89,1.94,0
PANTONE 271 C,63.74,12.31,-35.13,89.59,0,0.81,0,0,0,0,3.01,6.59,0
PANTONE 2715 C,58.62,18.74,-45.72,84.38,0,0,0,0,0,0,3.99,11.63,0
PANTONE 2716 C,71.38,6.2,-34.48,91.96,0,0,0,0,0,0,3.17,4.87,0
PANTONE 2717 C,78.54,-1.65,-28.87,94.46,0,0,0,0,0,0,3.03,2.51,0
PANTONE 2718 C,56.42,5.77,-52.59,79.33,0,0,0,0,0,0,10.69,9.98,0
PANTONE 272 C,51.57,16.67,-44.07,80.3,0,3.46,0,0,0,0,6.57,9.67,0
PANTONE 2725 C,44.57,27.6,-58.65,69.6,0,0,0,0,0,0,7.75,22.65,0
PANTONE 2726 C,42.09,21.14,-63.67,63.24,0,0,0,0,0,0,14.54,22.22,0
PANTONE 2727 C,52.22,5.82,-63.1,69.26,0,0,0,0,0,0,17.78,12.96,0
PANTONE 2728 C,32.68,21.14,-71.66,40.44,0,0,0,0,0,0,31.33,28.23,0
PANTONE 273 C,13.37,26.08,-44.08,2.56,0,0,0,0,0,0,17.56,64.4,15.48
PANTONE 2735 C,14.67,49.76,-69.99,0,0,0,0,0,0,0,18.56,81.44,0
PANTONE 2736 C,23.71,38.62,-75.72,19.77,0,0,0,0,0,0,30.61,49.62,0
PANTONE 2738 C,14.24,42.08,-72.61,0,0,0,0,0,0,0,35.59,64.41,0
PANTONE 274 C,12.71,20.22,-35.78,4.08,0,0,0,0,0,0,15.9,57.28,22.74
PANTONE 2745 C,13.11,36.82,-55.64,0,0,30.86,0,0,0,0,32.78,36.36,0
PANTONE 2746 C,19.12,33.7,-66.62,12.41,0,0,0,2.1,0,0,33.07,52.42,0
PANTONE 2747 C,13.94,22.78,-55.52,0,0,0,0,0,0,0,41.83,49.71,8.46
PANTONE 2748 C,13.93,23.98,-55.45,0,0,0,0,0,0,0,40.08,51.39,8.53
PANTONE 275 C,11.79,16.36,-29.75,2.19,0,0,0,0,0,0,14.88,53.77,29.16
PANTONE 2755 C,12.97,28.02,-45.66,0,0,54.55,0,0,0,0,45.45,0,0
PANTONE 2756 C,16.22,20.7,-49.04,8.8,0,39.28,0,2.23,0,0,49.69,0,0
PANTONE 2757 C,13.43,13.39,-44,0,0,0,0,0,0,0,40.41,42.94,16.65
PANTONE 2758 C,13.49,15.68,-45.68,0,0,0,0,0,0,0,39.41,45.23,15.36
PANTONE 276 C,12.18,8.32,-15.49,1,0,0,0,0,0,17.22,0,39.75,42.03
PANTONE 2765 C,11.42,16.47,-29.94,1.31,0,42.01,0,0,0,0,37.58,0,19.1
PANTONE 2766 C,11.94,12.36,-34.08,0,0,37.07,0,0,0,0,46.3,0,16.63
PANTONE 2767 C,16.09,2.38,-25.49,19.89,0,20.99,0,0,0,0,33.82,0,25.3
PANTONE 2768 C,11.64,7.36,-31.54,0,0,0,0,0,0,0,33.29,38.14,28.57
PANTONE 277 C,79.7,-3.9,-23.84,95.62,0,0,0,0,0,0,2.6,1.78,0
PANTONE 278 C,72.75,-4.19,-34.82,91.7,0,0,0,0,0,0,5.06,3.24,0
PANTONE 279 C,57.06,-1.67,-53.55,77.97,0,0,0,0,0,0,13.9,8.13,0
PANTONE 280 C,15.38,16.28,-47.55,3.37,0,36.73,0,0,0,0,55.59,0,4.31
PANTONE 281 C,13.14,10.36,-42.05,0,0,0,0,0,0,0,42.94,38.94,18.12
PANTONE 282 C,10.97,3.49,-27.42,0,0,26.79,0,0,0,0,46.82,0,26.39
PANTONE 283 C,76.41,-6.65,-30.16,93.56,0,0,0,0,0,0,4.26,2.18,0
PANTONE 284 C,67.89,-7.05,-40.3,88.33,0,0,0,0,0,0,7.84,3.83,0
PANTONE 285 C,45.75,-1.89,-62.36,61.43,0,0,0,0,0,0,27.03,11.54,0
PANTONE 286 C,23.01,20.35,-70.1,0,0,0,0,0,0,2.1,65.45,32.45,0
PANTONE 287 C,21.06,13.97,-57.53,0,0,0,0,0,0,30.07,26.75,43.18,0
PANTONE 288 C,18.64,9.68,-48.14,2.52,0,33.16,0,0,0,17.84,46.48,0,0
PANTONE 289 C,13.11,0.61,-22.4,8.11,0,20.98,0,0,0,0,38.86,0,32.05
PANTONE 290 C,84.93,-6.44,-17.92,97.22,0,0,0,0,0,0,1.96,0.82,0
PANTONE 2905 C,77.28,-11.82,-27.92,93.95,0,0,0,0,0,0,4.69,1.36,0
PANTONE 291 C,79.31,-8.78,-26.88,94.71,0,0,0,0,0,0,3.82,1.47,0
PANTONE 2915 C,69.81,-14.03,-37.59,89.14,0,0,0,0,0,0,8.56,2.3,0
PANTONE 292 C,69.45,-10.9,-39.31,88.76,0,0,0,0,0,0,8.32,2.92,0
PANTONE 2925 C,59.81,-15,-48.66,79.72,0,0,0,0,0,0,16.23,4.05,0
PANTONE 293 C,26.02,12.59,-68.1,0.83,0,0,0,0,0,3.35,70.38,25.44,0
PANTONE 2935 C,34.44,-0.62,-66.15,30.01,0,0,0,0,0,0.52,55.21,14.26,0
PANTONE 294 C,18.59,4.92,-43.64,1.81,0,30.6,0,0,7.85,0,59.74,0,0
PANTONE 2945 C,29.28,-4.42,-54.62,12.87,0,0,0,0,0,25.64,38.48,23.01,0
PANTONE 295 C,14.96,-0.95,-34.46,0,0,21.32,0,0,0,0,60.33,0,18.35
PANTONE 2955 C,20.71,-7.35,-35.34,0,0,24.73,0,0,14.43,0,60.84,0,0
PANTONE 296 C,9.36,-4.12,-14.56,0,0,14.26,0,0,0,0,38.33,0,47.41
PANTONE 2965 C,13.31,-6.69,-20.92,0.4,0,13.81,0,0,0,0,49.98,0,35.81
PANTONE 297 C,75.17,-17.89,-30.97,92.24,0,0,0,0,0,0,6.77,0.99,0
PANTONE 2975 C,82.01,-15.19,-21.79,95.8,0,0,0,0,0,0,3.81,0.39,0
PANTONE 298 C,69.05,-20.48,-38.89,87.48,0,0,0,0,0,0,11,1.52,0
PANTONE 2985 C,73.26,-21.47,-33.48,90.54,0,0,0,0,0,0,8.67,0.79,0
PANTONE 299 C,61.31,-22.17,-47.59,79.25,0,0,0,0,0,0,18.35,2.4,0
PANTONE 2995 C,62.43,-26.08,-45.51,79.95,0,0,0,0,0,0,18.6,1.45,0
PANTONE 300 C,35.95,-8.52,-63.34,23.92,0,0,0,0,0,2.62,62.93,10.53,0
PANTONE 3005 C,44.01,-19.87,-59.45,45.83,0,0,0,0,0,0.82,48.35,5,0
PANTONE 301 C,27.82,-11.4,-46.3,11.18,0,17.23,0,0,0,23.72,47.87,0,0
PANTONE 3015 C,35.76,-21.45,-45.77,32.99,0,8.45,0,0,4.15,0,54.41,0,0
PANTONE 302 C,21.44,-12.89,-28.77,21.16,0,9.97,0,0,0,0,48.23,0,20.64
PANTONE 3025 C,28.64,-20.73,-31.09,33.27,0,5.1,0,0,0,0,46.88,0,14.75
PANTONE 303 C,14.94,-8.72,-15.63,13.05,0,8.95,0,0,0,0,36.89,0,41.11
PANTONE 3035 C,22.3,-16.58,-19.79,23.05,0,0,8.86,0,0,0,38.98,0,29.11
PANTONE 304 C,83.12,-17.79,-19.02,96.34,0,0,0,0,0,0,3.66,0,0
PANTONE 305 C,75.52,-25.84,-30.48,91.57,0,0,0,0,0,0,8.43,0,0
PANTONE 306 C,66.2,-33.27,-41.18,82.39,0,0,0,0,0,0,17.61,0,0
PANTONE 307 C,38.31,-28.93,-47.95,21.4,0,5.62,0,0,0,15.72,57.26,0,0
PANTONE 308 C,31.16,-27.14,-33.82,4.79,19.96,0,0,0,0,17.7,57.55,0,0
PANTONE 309 C,20.98,-18.26,-16.53,24.23,0,2.26,0,0,0,0,39.88,0,33.63
PANTONE 310 C,77.92,-26.43,-24.39,92.75,0,0,0,0,0,0.97,6.28,0,0
PANTONE 3105 C,78.18,-28.36,-21.82,92.07,0,0,0,0,0,2.39,5.54,0,0
PANTONE 311 C,71.5,-34.02,-30.49,86.71,0,0,0,0,0,2.6,10.69,0,0
PANTONE 3115 C,69.94,-39,-27.78,83.26,0,0,0,0,0,6.11,10.63,0,0
PANTONE 312 C,60.07,-44.31,-38.43,69.19,0,0,0,0,0,7.46,23.35,0,0
PANTONE 3125 C,61.53,-48.09,-32.44,68.96,0,0,0,0,0,11.94,19.1,0,0
PANTONE 313 C,51.15,-46.62,-42.12,47.34,0,0,0,0,0,13.95,38.13,0.58,0
PANTONE 3135 C,48.78,-53.36,-35.04,33,0,0,0,0,0,29.18,36.67,1.15,0
PANTONE 314 C,44.63,-43.23,-37.14,33.15,0,3.49,0,0,0,27.44,35.92,0,0
PANTONE 3145 C,41.54,-44.98,-27.89,22.58,8.95,0,0,0,0,33.18,35.29,0,0
PANTONE 315 C,36.18,-36.25,-27.9,15.27,15.56,0,0,0,0,30.35,38.82,0,0
PANTONE 3155 C,34.15,-38.54,-22.83,1.52,18.2,0,0,0,0,45.75,34.53,0,0
PANTONE 316 C,26.09,-22.22,-14.21,36.15,0,0,0,0,1.09,0,33.6,0,29.16
PANTONE 3165 C,27.24,-29.8,-16.73,25.71,0,0,0,0,5.17,0,46.62,0,22.5
PANTONE 317 C,86.78,-15.88,-10.53,97.24,0,0,0,0,0,1.1,1.66,0,0
PANTONE 318 C,81.95,-24.84,-15.4,94.1,0,0,0,0,0,2.77,3.13,0,0
PANTONE 319 C,74.19,-37.85,-20.27,86.18,0,0,0,0,0,7.61,6.21,0,0
PANTONE 320 C,53.06,-62.04,-25.64,36.99,0,0,0.36,0,0,37.51,25.14,0,0
PANTONE 321 C,48.34,-55.75,-22.9,30.19,4.02,0,0,0,0,41.3,24.49,0,0
PANTONE 322 C,40.15,-44.98,-17.69,14.27,13.5,0,0,0,0,52.1,20.13,0,0
PANTONE 323 C,33.8,-35.71,-13.34,35.68,0,0,0,0,9.56,0,39.91,0,14.85
PANTONE 324 C,82.93,-19.7,-10.84,95.73,0,0,0,0,0,2.09,2,0,0.18
PANTONE 3242 C,80.69,-32.82,-11.34,90.57,0,0,0,0,0,7.33,2.1,0,0
PANTONE 3245 C,82.46,-32.17,-8.07,91.08,0,0,0,0,0,7.93,0.99,0,0
PANTONE 3248 C,75.63,-32.75,-2.9,85.35,0,0.82,0,0,1.36,12.47,0,0,0
PANTONE 325 C,75.39,-31.47,-13.04,88.13,0.84,0,0,0,0,7.96,3.07,0,0
PANTONE 3252 C,75.54,-42.98,-12.74,83.54,0,0,0,0,0,13.25,3.21,0,0
PANTONE 3255 C,76.46,-45.39,-8.5,82.11,0,0,0,0,0,16.46,1.43,0,0
PANTONE 3258 C,71.81,-38.6,-5,84.84,0,0,0,0,4.64,2.18,8.34,0,0
PANTONE 326 C,63.32,-47.75,-13.13,67.01,2.42,0,0,0,0,25.39,5.18,0,0
PANTONE 3262 C,66.51,-58.61,-13.67,64.69,0,0,0,0,0,29.17,6.14,0,0
PANTONE 3265 C,69.61,-58.7,-8.26,66.77,0,0,0,0,0,31.04,2.19,0,0
PANTONE 3268 C,60.14,-55.01,-1.64,64.92,0,0,0,0,11.7,4.2,19.18,0,0
PANTONE 327 C,45.71,-63.6,-8.22,30.72,0.64,0,0,0,19.94,0,48.7,0,0
PANTONE 3272 C,55.77,-69.39,-14.71,33.39,0,0,0,0,0,53,13.61,0,0
PANTONE 3275 C,60.84,-70.99,-6.96,39.53,0,0,0,0,0,56.61,3.86,0,0
PANTONE 3278 C,53.53,-62.26,1.32,28.38,0,2.72,0,0,6.5,62.4,0,0,0
PANTONE 328 C,39.63,-52.35,-8.5,28.15,0,0,0,0,18.84,0,47.38,0,5.63
PANTONE 3282 C,45.87,-57.23,-10.09,11.62,8.13,0,0,0,0,70.99,9.26,0,0
PANTONE 3285 C,52.32,-57.64,-5.66,35.72,0,0,0,0,0,55.98,4.06,0,4.24
PANTONE 3288 C,45.14,-55.9,1.09,36.56,0,0,0,0,23.28,0,36.81,0,3.35
PANTONE 329 C,36.12,-44.92,-7.87,28.46,0,0,0,0,17.48,0,43.85,0,10.21
PANTONE 3292 C,31.23,-37.06,-5.75,0,0,4.88,0,0,0,78.46,0,0,16.66
PANTONE 3295 C,41.49,-49.91,-3.77,11.28,0,1.87,0,0,0,77.71,0,0,9.14
PANTONE 3298 C,37.13,-43.23,1.15,29.68,0,0,0,0,23.62,0,35.64,0,11.06
PANTONE 330 C,30.31,-25.83,-4.88,37.52,0,0,0,0,10.88,0,27.67,0,23.93
PANTONE 3302 C,27.6,-25.21,-3.75,24.76,0,0,0,0,0,33.89,9.81,0,31.54
PANTONE 3305 C,28.59,-25.59,-1.41,18.23,0,2.05,0,0,0,50.76,0,0,28.96
PANTONE 3308 C,25.48,-23.07,1.04,23.57,0,0,0,0,17.58,0,27.31,0,31.54
PANTONE 331 C,86.64,-23,-3.47,94.98,0,0,0,0,0,5.02,0,0,0
PANTONE 332 C,83.97,-30.32,-3.89,92.09,0,0,0,0,0,7.91,0,0,0
PANTONE 333 C,78.45,-46.87,-4.02,81.67,0,0,0,0,0,18.33,0,0,0
PANTONE 334 C,51.68,-67.41,0.2,8.64,0,0,4.79,0,4.44,82.13,0,0,0
PANTONE 335 C,43.14,-51.64,1.47,14.26,0,0,0,0,2.05,73.18,0,0,10.51
PANTONE 336 C,36.03,-39.35,1.48,15.45,0,0,0,0,1.81,63.45,0,0,19.29
PANTONE 337 C,80.13,-26.28,0.89,92.27,0,0,0,0,3.24,0.73,3.76,0,0
PANTONE 3375 C,82.59,-37.37,2.29,88.01,0,0,0,0,1.4,10.59,0,0,0
PANTONE 338 C,76.03,-34.34,0.39,87.94,0,0,0,0,4.27,2.57,5.22,0,0
PANTONE 3385 C,77.09,-47.87,5.27,79.66,0,0,0,0,2.64,17.7,0,0,0
PANTONE 339 C,63.4,-53.27,5.55,67.75,0,0,0,0,12.54,5.44,14.27,0,0
PANTONE 3395 C,67.81,-66.15,11.05,54.43,0,0,0,0,6.33,39.24,0,0,0
PANTONE 340 C,52.04,-64.97,13.21,38.64,0,0,0,0,29.92,0,31.44,0,0
PANTONE 3405 C,59.09,-79.42,18.68,13.79,0,0,0,0,13.78,72.43,0,0,0
PANTONE 341 C,43.38,-47.97,8.7,35.12,0,0,0,0,28.23,0,30.2,0,6.45
PANTONE 3415 C,41.65,-51.59,12.41,4.37,0,0,0,0,14.07,70.26,0,0,11.3
PANTONE 342 C,37.17,-38.32,7.18,30.49,0,0,0,0,27.27,0,29.1,0,13.14
PANTONE 3425 C,35.51,-39.21,9.23,8.92,0,0,0,0,11.66,59.74,0,0,19.68
PANTONE 343 C,31.76,-26.76,5.43,31.16,0,0,0,0,22.13,0,24.14,0,22.57
PANTONE 3435 C,26.1,-22.14,5.49,13.85,0,0,0,0,6.59,42.27,0,0,37.29
PANTONE 344 C,81.85,-24.19,9.66,91.98,0,0,0,0,4.69,0.33,3,0,0
PANTONE 345 C,80.04,-28.7,9.3,89.98,0,0,0,0,5.13,1.59,3.3,0,0
PANTONE 346 C,74.97,-37.18,13.48,83.4,0,0,0,0,8.92,2.09,5.59,0,0
PANTONE 347 C,53.5,-64.02,29.39,28.09,0,0,0,0,45,0,26.91,0,0
PANTONE 348 C,46.69,-53.74,25,20.3,0,0,0,4.55,44.15,0,31,0,0
PANTONE 349 C,38.76,-36.68,18.51,23.29,0,0,0,0,39.7,0,24.31,0,12.7
PANTONE 350 C,31.08,-19.37,11.55,29.7,0,0,0,0,26.1,0,16.96,0,27.24
PANTONE 3500 C,37.55,-57.82,19.89,0,0,0,0,0,51.98,0,42.08,0,5.94
PANTONE 3501 C,62.72,-49.4,60.21,7.57,0,0,2.92,0,63.27,26.24,0,0,0
PANTONE 3506 C,40.03,0.09,-48.66,59.78,0,0,0,3.06,0,0,23.27,13.89,0
PANTONE 3507 C,78.29,-27.75,82.69,30.96,0,0,0,0,65.73,0.28,3.03,0,0
PANTONE 3508 C,47.35,-19.17,35.02,12.37,17.88,0,0,0,43,26.75,0,0,0
PANTONE 351 C,84.95,-28.02,11.23,91.37,0,0,0,0,2.94,5.69,0,0,0
PANTONE 3514 C,78.96,14.42,91.65,32.13,0,0,0,9.09,58.28,0,0.5,0,0
PANTONE 3515 C,23.49,50.49,-44.03,26.57,0,26.06,0,0,0,0,2.17,45.2,0
PANTONE 3516 C,51.21,64.52,59.94,15.75,41.01,0,0,41.82,0,1.42,0,0,0
PANTONE 3517 C,40.38,73.67,48.32,0,0,50.67,0,48.71,0,0,0,0,0.62
PANTONE 3519 C,74.35,24.59,5.79,85.48,0,0,8.03,0,5.18,0,0,1.31,0
PANTONE 352 C,83.33,-34.68,12.26,88.02,0,0,0,0,3.69,8.29,0,0,0
PANTONE 3520 C,59.81,32.2,-28.87,83.25,0,0,5.73,1.03,0,0,0,9.99,0
PANTONE 3522 C,46.88,-69.07,31.95,0,0,0,0,0,62.02,0,37.98,0,0
PANTONE 3523 C,30.21,32.18,13.73,3.02,69.66,0,0,6.69,0,20.63,0,0,0
PANTONE 3524 C,18.82,11.59,-24.09,31.77,0,0,0,0,0,0,10.43,30,27.8
PANTONE 3526 C,59.08,-7.1,-8.25,75.57,0,6.31,0,0,4.45,13.67,0,0,0
PANTONE 3527 C,53.52,65.11,-15.4,43.25,4.77,0,50.49,0,0,0,0,1.49,0
PANTONE 3529 C,59.68,-54.56,50.36,23.54,0,0,0.06,0,60.06,0,16.34,0,0
PANTONE 353 C,81.64,-39.48,14.56,84.69,0,0,0,0,4.8,10.51,0,0,0
PANTONE 3533 C,79.78,-37.77,-3.21,87.39,0,0,0,0.1,0.19,12.32,0,0,0
PANTONE 3534 C,61.22,-64.82,-10.84,49.61,0,0,0,0.23,0,43.48,6.68,0,0
PANTONE 3535 C,18.91,43.35,-57.58,13.05,8.3,0,0,0,0,0,9.04,69.61,0
PANTONE 3536 C,39.36,-78.12,18.92,0,0,0,0,0,48.19,0,51.81,0,0
PANTONE 3537 C,24.82,-39.06,16.31,0,0,0,0,0,45.28,0,35.18,0,19.54
PANTONE 3538 C,54.64,-28.68,-48.09,67.37,0,0,3.75,0,0,1.48,27.4,0,0
PANTONE 3539 C,56.09,-44.77,44.4,10.84,0,0,7.01,0,49.68,32.47,0,0,0
PANTONE 354 C,60.37,-76.33,39.21,6.86,0,0,0,0,34.89,58.25,0,0,0
PANTONE 3541 C,50.01,-61.64,-24.66,32.65,0,0,0,0,3.29,28.34,35.72,0,0
PANTONE 3542 C,17.72,34.06,-53.79,8.55,15.81,0,0,0,0,0,20.04,55.6,0
PANTONE 3543 C,62.97,19.34,-31.47,88.68,0,0,0,0,0.77,0,1.16,9.39,0
PANTONE 3544 C,78.05,13.11,14.52,93.47,1.56,0,0,3.39,0,0,0,0,1.58
PANTONE 3545 C,68.66,-34.94,-32.85,84.37,0,0,0,0,0,2.85,12.78,0,0
PANTONE 3546 C,44.39,73.01,51.88,10.28,0,35.86,0,53.16,0,0,0,0.7,0
PANTONE 3547 C,63.97,14.85,64.37,27.33,12.59,0,0,0,56.26,3.82,0,0,0
PANTONE 355 C,51.97,-66.81,33.55,0,0,0,0,0,34.52,62.62,0,0,2.86
PANTONE 3551 C,57.67,-54.59,-36.74,50.83,0,0,0,0,0,19.54,29.63,0,0
PANTONE 3553 C,39.9,-25.21,-52.23,29.52,0,0,5.63,0,0,0,62.71,0,2.14
PANTONE 3555 C,24.43,35.31,-40.85,29.14,0,0,0,8.34,0,8.12,0,54.4,0
PANTONE 3556 C,55.34,69.71,51.48,35.23,41.4,0,0,23.22,0,0.15,0,0,0
PANTONE 3557 C,44.02,-45.38,-16.14,39.65,0,0,0,0,0,32.99,19.3,0,8.06
PANTONE 3558 C,65.09,5.53,-30.26,89.36,0,0,0,0,0.88,0,3.62,6.14,0
PANTONE 3559 C,45.07,37.72,-35.59,69.94,7.3,0,0,0,0,0.31,0,22.45,0
PANTONE 356 C,43.24,-50.51,26.6,0,0,0,0,0,32.71,57.24,0,0,10.05
PANTONE 3560 C,56.83,-60.78,-10.53,54.69,0,0,0,0,7.59,16.19,21.53,0,0
PANTONE 3561 C,71.43,-44.24,73.97,17.2,0,0,0,1.05,65.82,15.93,0,0,0
PANTONE 3564 C,62.04,49.48,94.1,0,0,0,0,99.17,0,0,0.83,0,0
PANTONE 3566 C,24.48,26.47,-37.28,42.7,0,0,0,0,0,0,4.51,39.98,12.81
PANTONE 3568 C,84.72,17.25,-2.64,96.07,0,0,3.28,0.65,0,0,0,0,0
PANTONE 357 C,32.39,-26.52,14.51,14.7,0,0,0,0,19.95,38.17,0,0,27.18
PANTONE 3570 C,80.33,-30.21,91.72,15.8,0.14,0,0,0,78.32,5.74,0,0,0
PANTONE 3572 C,76.42,40.01,15.76,83.85,0,0,8.99,7.16,0,0,0,0,0
PANTONE 3574 C,34.01,20.16,-29.82,53,0,0,0,11.34,0,0,9.91,25.75,0
PANTONE 3575 C,54.53,27.17,-37.06,82.6,0,0,0,1.11,0,0,1.16,15.13,0
PANTONE 3577 C,72.84,-10.09,-23.82,92.9,0,0,0,0.55,0,0,4.87,1.68,0
PANTONE 358 C,82.89,-25.22,27.89,87.17,0,0,0,0,9.74,1.07,2.02,0,0
PANTONE 3581 C,22.27,10.09,-38.07,16.23,31.85,0,0,0,0,0,34.84,17.08,0
PANTONE 3582 C,61.16,43.12,-9.19,68.57,0,0,26.25,3.26,0,1.92,0,0,0
PANTONE 3583 C,24.49,38.49,-47.36,30.56,0,0,0,5.27,0,7.18,0,56.99,0
PANTONE 3584 C,27.29,9.9,-39.86,37.12,0,0,0,11.4,0,0,26.42,25.06,0
PANTONE 3588 C,72.68,37.67,70.7,61.05,0,0,0,29,9.26,0,0,0.69,0
PANTONE 359 C,80.77,-29.25,31.96,83.2,0,0,0,0,12.79,1.39,2.62,0,0
PANTONE 3590 C,37.84,7.67,-43.94,62.9,0,0,0,0,0,0,14.79,17.54,4.77
PANTONE 3591 C,18.62,18.92,-53.74,14.95,0,0,0,0,0,0,35.92,40.59,8.54
PANTONE 3593 C,53.64,28.85,-30.91,64.78,0,0,28.63,0,1.29,0,5.3,0,0
PANTONE 3595 C,81.78,22.51,-4.13,94.13,0,0,4.95,0.84,0,0.08,0,0,0
PANTONE 3596 C,78.2,8.76,29.08,85.5,0,0,0,1.65,10.35,0,0,2.5,0
PANTONE 3597 C,23.67,7.68,-39.63,37.2,0,0,0,0,0,0,22.98,26.21,13.61
PANTONE 3599 C,79.62,3.64,32.88,86.18,1.95,0,0,0,10.31,0,0,0,1.56
PANTONE 360 C,70.73,-43.4,47.1,57.28,0,0,0,0,33.81,1.81,7.1,0,0
PANTONE 361 C,62.98,-50.88,51.97,31.02,0,0,0,0,55.26,0.94,12.78,0,0
PANTONE 362 C,57.88,-40.66,45.54,31.83,0,0,0,3.55,50.01,0,14.61,0,0
PANTONE 363 C,52.5,-34.99,41.14,27.97,0,0,0,0,53.27,0,13.2,0,5.56
